Vendor,Item Description,PO #,Amount ($),Qty,Unit,Ship From,Date,Notes
Apex Steel Solutions,"Cold-rolled steel sheets, 16ga",PO-2025-0341,847000,120,tonnes,Gary IN,2025-01-15,Annual contract renewal
Apex Steel Solutions,Steel coils - galvanized,PO-2025-0342,423000,,tonnes,Gary IN,2025-01-15,
Pacific Rim Aluminum Co,Aluminum extrusions 6061-T6,PO-2025-0287,612000,85,tonnes,"Shenzhen, China",2025-01-22,
Pacific Rim Aluminum Co,"Aluminum sheet, 3mm",PO-2025-0288,234000,32,tonnes,"Shenzhen, China",2025-01-22,
Pacific Rim Aluminum Co,Tooling aluminum blocks,PO-2025-0401,89000,,,Shenzhen China,2025-02-10,
GlobalTrans Logistics,Ocean freight - Asia to LAX (Q1),PO-2025-0312,287000,,,"Shanghai, CN → Los Angeles, CA",2025-01-08,FCL 40ft containers x24
GlobalTrans Logistics,Customs brokerage & handling,PO-2025-0313,34500,,,Los Angeles CA,2025-01-08,
SWIFT AIR CARGO INC,Air freight - emergency shipment,PO-2025-0445,156000,18,tonnes,"Shenzhen → Chicago O'Hare",2025-03-02,Expedited - production delay
SWIFT AIR CARGO INC,Air freight - component shortage,PO-2025-0467,94000,11,tonnes,Taipei → LAX,2025-03-11,URGENT
Midwest Trucking LLC,FTL domestic - IL to distribution centers,PO-2025-0298,178000,,,"Chicago, IL (various)",2025-01-06,Monthly contract
Midwest Trucking LLC,LTL regional deliveries Q1,PO-2025-0332,67000,,,Midwest region,2025-01-20,
Midwest Trucking LLC,LTL regional Q2,PO-2025-0489,71000,,,Midwest,2025-04-01,
ShenZhen MicroTech Ltd,PCB assemblies - main board v4.2,PO-2025-0267,1890000,45000,units,"Shenzhen, China",2024-12-18,
ShenZhen MicroTech Ltd,PCB assemblies - power board,PO-2025-0268,567000,45000,pcs,Shenzhen,2024-12-18,
ShenZhen MicroTech Ltd,"Flex cables, assorted",PO-2025-0356,123000,90000,pcs,Shenzhen,2025-02-01,
Taiwan Semiconductor Partners,IC chips - custom ASIC,PO-2025-0234,3400000,200000,units,"Hsinchu, Taiwan",2024-12-01,Long lead time item
Taiwan Semiconductor Partners,Memory modules DDR5,PO-2025-0235,1250000,100000,pcs,Hsinchu Taiwan,2024-12-01,
